subject_number,time,microstate,gev,duration,coverage,occurrence
S26,4,M5,0.077062,78.367611,16.092795,1.81131
S27,4,M5,0.087792,92.388302,18.932919,1.790623
S28,4,M5,0.03312,77.979215,9.141374,1.06337
S29,4,M5,0.04474,72.972521,11.520884,1.412655
S30,4,M5,0.048316,80.532561,10.791341,1.150102
S31,4,M5,0.094214,83.05738,17.746895,1.871797
S32,4,M5,0.067938,76.121782,14.601786,1.729066
S33,4,M5,0.073526,80.526559,15.626514,1.726376
S34,4,M5,0.068341,79.002955,14.801775,1.672417
S35,4,M5,0.093078,84.009278,19.350076,2.023413
S36,4,M5,0.093201,85.960224,19.634002,1.965991
S37,4,M5,0.091864,82.940709,18.588179,1.997337
S38,4,M5,0.066354,74.180109,14.573714,1.753428
S39,4,M5,0.134303,89.671303,24.04037,2.2866
S40,4,M5,0.083834,82.866568,18.11787,1.890695
S41,4,M5,0.076002,77.373604,16.895009,1.950305
S42,4,M5,0.080604,87.227638,17.398421,1.731209
S43,4,M5,0.06716,79.008867,14.501354,1.635862
S44,4,M5,0.077433,76.677627,16.298017,1.905246
S45,4,M5,0.067228,84.442839,13.818776,1.452697
S46,4,M5,0.072946,82.487511,15.466488,1.675183
S47,4,M5,0.080572,83.869663,17.680058,1.859392
S48,4,M5,0.071957,84.690261,15.749519,1.601615
S1,5,M5,0.070754,80.754945,15.429897,1.678266
S2,5,M5,0.05679,84.541174,13.072534,1.347351
S3,5,M5,0.078115,81.514458,16.539962,1.789403
S4,5,M5,0.085235,86.809176,17.307516,1.742547
S5,5,M5,0.062325,78.407596,14.334286,1.608412
S6,5,M5,0.083037,89.047154,17.611517,1.726332
S7,5,M5,0.081119,81.724815,17.758892,1.922483
S8,5,M5,0.05939,77.975461,13.803935,1.581284
S9,5,M5,0.035728,79.004343,11.116324,1.238894
S10,5,M5,0.076446,75.908647,15.954128,1.852747
S11,5,M5,0.078192,84.501301,17.021433,1.767695
S12,5,M5,0.089967,78.223522,17.205651,1.973253
S13,5,M5,0.077498,86.312959,16.259131,1.623257
S14,5,M5,0.059437,76.661852,13.239363,1.49984
S15,5,M5,0.072299,82.88371,15.86266,1.673924
S16,5,M5,0.093767,85.596356,18.607445,1.899574
S17,5,M5,0.058989,81.279416,14.504454,1.547007
S18,5,M5,0.085819,82.53599,18.260733,1.94248
S19,5,M5,0.079059,87.750755,17.505624,1.746689
S20,5,M5,0.073774,85.685318,16.037862,1.628531
S21,5,M5,0.045835,76.561317,11.518945,1.346132
S22,5,M5,0.076051,85.879962,15.588352,1.584896
S23,5,M5,0.098024,87.55029,19.638542,1.951701
S24,5,M5,0.09475,85.618109,18.566803,1.874236
S25,5,M5,0.094032,88.068741,19.606883,1.94704
S26,5,M5,0.080109,78.61604,16.412987,1.837953
S27,5,M5,0.090965,94.777705,19.39932,1.774191
S28,5,M5,0.041655,78.130882,10.657391,1.224325
S29,5,M5,0.048116,74.563707,12.076764,1.444674
S30,5,M5,0.05521,81.487476,11.935313,1.272383
S31,5,M5,0.102416,82.66696,18.707511,1.978157
S32,5,M5,0.071651,76.816165,14.958837,1.743429
S33,5,M5,0.074148,81.931791,15.661298,1.670224
S34,5,M5,0.074777,79.266103,15.925429,1.786597
S35,5,M5,0.104459,84.752522,21.128229,2.151756
S36,5,M5,0.096208,84.498516,20.259902,2.055579
S37,5,M5,0.097661,83.76403,19.108224,2.024742
S38,5,M5,0.073285,73.682078,15.525719,1.863227
S39,5,M5,0.145796,91.495103,25.079981,2.340186
S40,5,M5,0.087124,82.400117,18.173198,1.907478
S41,5,M5,0.080854,77.552858,17.398006,2.015131
S42,5,M5,0.085857,88.473106,18.258075,1.783578
S43,5,M5,0.080451,78.861988,16.275736,1.842347
S44,5,M5,0.084309,75.78567,16.968425,1.993498
S45,5,M5,0.069629,83.443126,14.453955,1.5176
S46,5,M5,0.07625,82.177153,15.962481,1.737369
S47,5,M5,0.088264,85.231394,18.996286,1.947798
S48,5,M5,0.083684,87.818779,17.524101,1.718341
